Route,State
"['Warehouse', 'New World Howick', 'Four Square Cockle Bay', ""Pak 'n Save Botany"", 'New World Botany', ""Pak 'n Save Ormiston"", ""Pak 'n Save Papakura"", ""Pak 'n Save Clendon"", 'Warehouse']",1.0
"['Warehouse', 'Four Square Pakuranga Heights', 'Four Square Botany Junction', 'New World Botany', ""Pak 'n Save Ormiston"", ""Pak 'n Save Papakura"", 'New World Papakura', 'Four Square Everglade', 'Warehouse']",1.0
"['Warehouse', ""Pak 'n Save Clendon"", 'New World Papakura', 'Four Square Everglade', ""Pak 'n Save Ormiston"", 'Four Square Cockle Bay', 'New World Howick', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",1.0
"['Warehouse', ""Pak 'n Save Clendon"", ""Pak 'n Save Papakura"", 'New World Papakura', 'Four Square Everglade', 'Four Square Botany Junction', ""Pak 'n Save Ormiston"", 'New World Howick', ""Pak 'n Save Manukau"", 'Warehouse']",1.0
"['Warehouse', ""Pak 'n Save Clendon"", 'Four Square Everglade', ""Pak 'n Save Botany"", 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",1.0
"['Warehouse', 'New World Southmall', ""Pak 'n Save Papakura"", 'New World Papakura', ""Pak 'n Save Manukau"", 'Four Square Botany Junction', ""Pak 'n Save Ormiston"", 'New World Botany', ""Pak 'n Save Botany"", 'Four Square Cockle Bay', 'New World Howick', 'New World Papatoetoe', 'Warehouse']",1.0
